X_coords,Y_coords,cellID,SKP_jan-mar,SKP_apr-jun,SKP_jul-sep,SKP_oct-dec
-71.5,-33.5,1478,0.012044203061146185,NA,NA,NA
-70.5,-33.5,1479,0.011888877749637662,NA,NA,NA
-69.5,-33.5,1480,0.01718948963876995,NA,NA,0.012804044282463473
-68.5,-33.5,1481,0.04458977552158128,NA,NA,0.013002855370586595
-67.5,-33.5,1482,0.10332834065270899,NA,NA,0.02234686951658413
-66.5,-33.5,1483,0.0668642130476463,NA,NA,0.03777223382579491
-65.5,-33.5,1484,0.0838586572992273,NA,NA,0.02554189324852429
-28.5,-33.5,1496,0.15646481835098638,0.030041166458448055,0.025185279238545404,0.06624592313425365
-27.5,-33.5,1497,0.058027800290272165,0.03630264117814613,0.03369481828513559,0.05315882604441735
-26.5,-33.5,1498,0.04453271259292603,0.0262548486829836,0.026087552172782608,0.03854573501742746
-25.5,-33.5,1499,0.051719638491673436,0.025228261563893586,0.023167539719880746,0.030027862767137294
-24.5,-33.5,1500,0.0333785200415918,0.019240411911436696,0.01941662736772726,0.02341690545886286
-23.5,-33.5,1501,0.02596257634453407,0.0191122500200323,0.01803102127563649,0.020971716405712427
-22.5,-33.5,1502,0.026509677348956,0.01832062272790547,0.01802465447290259,0.02660540211489465
-21.5,-33.5,1503,0.03567107349022952,0.028625428919012864,0.022565766921978706,0.0353936710472261
-20.5,-33.5,1504,0.03162388453617542,0.021539646227023597,0.019600108086681077,0.026712885664021097
80.5,-33.5,1605,0.01723599141828875,NA,NA,0.014507901261150579
81.5,-33.5,1606,0.017066529267423677,NA,NA,0.013923176397700394
82.5,-33.5,1607,0.01675191722634254,NA,NA,0.01366053429584899
83.5,-33.5,1608,0.01535899275005625,NA,NA,0.012612350305224536
84.5,-33.5,1609,0.015178491104468925,NA,NA,0.0121811899466668
85.5,-33.5,1610,0.01552628933750677,NA,NA,0.012649135966122922
86.5,-33.5,1611,0.016080952028210267,NA,NA,0.01180312230468178
87.5,-33.5,1612,0.016184137460198856,NA,NA,0.013268903660130216
88.5,-33.5,1613,0.01528318789569457,NA,NA,0.011798107801205736
89.5,-33.5,1614,0.01499058809919377,NA,NA,0.01207764836618241
-99.5,-32.5,1673,0.018110074501145,NA,NA,0.014972778880329989
-98.5,-32.5,1674,0.017587766820395468,NA,NA,0.015435615621091265
-97.5,-32.5,1675,0.01765520678286011,NA,NA,0.015061040507974096
-96.5,-32.5,1676,0.017996902542621727,NA,NA,0.014693658954445306
-95.5,-32.5,1677,0.013871752946486028,NA,NA,0.011350781881804606
-94.5,-32.5,1678,0.013986763256743948,NA,NA,0.011362546348463422
-93.5,-32.5,1679,0.01394724143586674,NA,NA,0.010185383316019531
-92.5,-32.5,1680,0.013292901668543728,NA,NA,0.009724088277117555
-91.5,-32.5,1681,0.014544332816234164,NA,NA,0.009934181018508645
-90.5,-32.5,1682,0.014747725464269158,NA,NA,0.010473868073501223
-79.5,-32.5,1693,0.014650693900808013,NA,NA,NA
-78.5,-32.5,1694,0.012992718976003133,NA,NA,NA
-77.5,-32.5,1695,0.012988083075859065,NA,NA,NA
-76.5,-32.5,1696,0.013152125290496816,NA,NA,NA
-75.5,-32.5,1697,0.011738531816727961,NA,NA,NA
-74.5,-32.5,1698,0.010212620408663612,NA,NA,NA
-73.5,-32.5,1699,0.009463767188083786,NA,NA,NA
-72.5,-32.5,1700,0.012527768887374734,NA,NA,NA
-71.5,-32.5,1701,0.011405677237464633,NA,NA,NA
-70.5,-32.5,1702,0.02091345537998807,NA,NA,NA
-69.5,-32.5,1703,0.03906320059682536,NA,NA,0.015286222075707493
-68.5,-32.5,1704,0.03831483218976274,NA,NA,0.015556548566964213
-67.5,-32.5,1705,0.05615667243132017,NA,NA,0.01750117681421235
-66.5,-32.5,1706,0.07235933279464118,NA,NA,0.023954137676198056
-65.5,-32.5,1707,0.07942735331350416,NA,NA,0.0276801377323731
-27.5,-32.5,1716,0.14494448881621935,0.03325442116616846,0.058829886833100684,0.05942227877076255
-26.5,-32.5,1717,0.06930934813555921,0.027450404485039704,0.018392579904857945,0.04373363261381408
