X_coords,Y_coords,cellID,YFT_jan-mar,YFT_apr-jun,YFT_jul-sep,YFT_oct-dec
87.5,-37.5,694,0.0175808696976037,NA,NA,0.011778720263315738
88.5,-37.5,695,0.01698495012291576,NA,NA,0.011475827659168795
89.5,-37.5,696,0.022111764529235082,NA,NA,0.01312678453845796
-99.5,-36.5,753,0.055924108817349966,NA,NA,0.026350964860845344
-98.5,-36.5,754,0.05666425802767645,NA,NA,0.02793221955534836
-97.5,-36.5,755,0.05383565416610358,NA,NA,0.024545874708970943
-96.5,-36.5,756,0.052588456675682425,NA,NA,0.024499583074015133
-95.5,-36.5,757,0.04393482679532339,NA,NA,0.021255801719763705
-94.5,-36.5,758,0.03608118088553788,NA,NA,0.018322321950350474
-93.5,-36.5,759,0.03032583221798744,NA,NA,0.014511870138153497
-92.5,-36.5,760,0.028461439882853358,NA,NA,0.01413910675197368
-91.5,-36.5,761,0.02466484025840822,NA,NA,0.013503636191320894
-90.5,-36.5,762,0.02438184204704171,NA,NA,0.012646187303972779
-79.5,-36.5,773,0.033314275260074626,NA,NA,NA
-78.5,-36.5,774,0.030956769606312506,NA,NA,NA
-77.5,-36.5,775,0.03277472305629036,NA,NA,NA
-76.5,-36.5,776,0.028214494638007726,NA,NA,NA
-75.5,-36.5,777,0.01358115877507819,NA,NA,NA
-74.5,-36.5,778,0.014972405156752874,NA,NA,NA
-73.5,-36.5,779,0.017804332650668702,NA,NA,NA
-72.5,-36.5,780,0.011070812450356763,NA,NA,NA
-71.5,-36.5,781,0.010826332683582565,NA,NA,NA
-70.5,-36.5,782,0.009854847260133569,NA,NA,NA
-69.5,-36.5,783,0.008975230936430878,NA,NA,0.0073908896192901915
-68.5,-36.5,784,0.01134847121372156,NA,NA,0.007614184338421836
